DATE,PRICE
2019-01-01,0.7910
2019-02-01,0.7656
2019-03-01,0.7655
2019-04-01,0.7583
2019-05-01,0.7663
2019-06-01,0.7900
2019-07-01,0.7916
2019-08-01,0.8000
2019-09-01,0.8244
2019-10-01,0.8011
2019-11-01,0.7763
2019-12-01,0.7745
2020-01-01,0.7651
2020-02-01,0.7610
2020-03-01,0.7721
2020-04-01,0.8501
2020-05-01,0.8112
